"Time","processor.rule.act.timing.mean"
1638609000000,2058.2857369391563
1638609300000,1417.6831044476908
1638609600000,2611.2325126580695
1638609900000,2726.5148547750487
1638610200000,2808.000397592527
1638610500000,1499.7398283121377
1638610800000,2270.521617505201
1638611100000,2880.2621434975167
1638611400000,1574.5082976541048
1638611700000,3262.578286481377
1638612000000,1487.1889264793638
1638612300000,3665.89005625737
1638612600000,1166.600320135975
1638612900000,3079.4773466302813
1638613200000,2206.526890823676
1638613500000,2534.3124157972734
1638613800000,3747.099169608351
1638614100000,2256.4735013443797
1638614400000,3564.3861644803633
1638614700000,1680.0230793781739
1638615000000,3286.1980826027057
1638615300000,4530.158159496348
1638615600000,1418.9748315748666
1638615900000,3317.536033521214
1638616200000,3811.7624943020624
1638616500000,2243.118766174448
1638616800000,2231.6726174216833
1638617100000,5039.739750640057
1638617400000,2245.742982357418
1638617700000,2578.0471406762317
1638618000000,1722.8822450256953
1638618300000,3749.6236573225665
1638618600000,2794.4493397236806
1638618900000,2855.749990244069
1638619200000,5165.231474625762
1638619500000,3005.409389307897
1638619800000,3390.9838221115797
1638620100000,2384.620499489095
1638620400000,3457.600358991028
1638620700000,3558.8233868491748
1638621000000,2934.0643404711905
1638621300000,2494.990431722673
1638621600000,2761.242955754112
1638621900000,2282.6220331674754
1638622200000,2443.7985125785535
1638622500000,2426.650403560853
1638622800000,1559.3383415539874
1638623100000,2417.0902442572014
1638623400000,2443.937607709432
1638623700000,3088.8198150233147
1638624000000,3275.8781615618946
1638624300000,3839.463099738008
1638624600000,1732.768576646257
1638624900000,1541.0077426561563
1638625200000,2006.6641905482174
1638625500000,2341.6137769621637
1638625800000,2195.695611866374
1638626100000,3815.0305832204094
1638626400000,2042.9367814899633
1638626700000,2616.363514657585
1638627000000,2021.2591163701532
1638627300000,3066.534304560716
1638627600000,2464.4196371207863
1638627900000,2201.6109262585414
1638628200000,3072.2348673679885
1638628500000,1114.1020359027827
1638628800000,2571.096578363995
1638629100000,1890.9531162557118
1638629400000,1928.880306763971
1638629700000,2155.6423714788007
1638630000000,2619.3986735806698
1638630300000,3054.396202589476
1638630600000,2365.5000592272454
1638630900000,2198.130392982105
1638631200000,2956.1843114959943
1638631500000,1468.7894306581195
1638631800000,1067.1394762943316
1638632100000,2856.328267105993
1638632400000,2412.451949333384
1638632700000,3024.1444582815534
1638633000000,3459.896290644489
1638633300000,2211.2492362094786
1638633600000,3315.498631254269
1638633900000,2467.780308603549
1638634200000,3711.8394419943224
1638634500000,2470.8531974571088
1638634800000,2311.2962963477394
1638635100000,3205.826005456427
1638635400000,2044.4107964835298
1638635700000,3485.0883842266653
1638636000000,4517.701404404591
1638636300000,2638.475006005435
1638636600000,2729.067870382901
1638636900000,2823.7811722131896
1638637200000,2821.0235396582502
1638637500000,3562.921514079495
1638637800000,2984.167198135683
1638638100000,3089.788015748697
1638638400000,3189.2494449001438
1638638700000,3320.0979628443783
1638639000000,2996.513215851536
1638639300000,3056.7926833868596
1638639600000,2787.296872534963
1638639900000,3295.1304343017646
1638640200000,2164.8393588733998
1638640500000,2236.7299496160867
1638640800000,1769.8740796197465
1638641100000,2232.218013939161
1638641400000,3397.9077346732893
1638641700000,2599.404142552171
1638642000000,2821.258886728809
1638642300000,2681.8361141137493
1638642600000,3075.478572304758
1638642900000,2219.786011677547
1638643200000,2467.835529613041
1638643500000,3705.0182697044993
1638643800000,4258.918241330192
1638644100000,5141.678623483173
1638644400000,2319.4209364696653
1638644700000,2993.4416607322214
1638645000000,4615.1951396682325
1638645300000,3035.5047643732782
1638645600000,3474.4644883098126
1638645900000,2841.142073993632
1638646200000,3086.2620283198585
1638646500000,1742.754647903995
1638646800000,3497.308157004198
1638647100000,2615.088611952642
1638647400000,1531.8850598427134
1638647700000,1089.183166893393
1638648000000,2693.970725613792
1638648300000,3226.615939395318
1638648600000,2149.5226300876043
1638648900000,2212.808803429791
1638649200000,2973.9575071658733
1638649500000,4198.530787573779
1638649800000,3581.905503437877
1638650100000,1601.8007700197645
1638650400000,3836.2581345600324
1638650700000,2894.9620215710765
1638651000000,3647.1146656734236
1638651300000,2818.3305951351526
1638651600000,3569.534694443282
1638651900000,3538.6603696619463
1638652200000,2635.9595306404144
1638652500000,2530.730671445902
1638652800000,2497.6014967704805
1638653100000,3934.9357402979927
1638653400000,2292.8582149109084
1638653700000,2134.8814955971707
1638654000000,2183.9081965022747
1638654300000,4459.730435236415
1638654600000,1811.0812658280975
1638654900000,1383.8235410344591
1638655200000,2799.636718792629
1638655500000,4178.057479506809
1638655800000,1306.4244350534725
1638656100000,4692.611510706803
1638656400000,2946.304783940965
1638656700000,3396.8079370846076
1638657000000,1811.1571733640328
1638657300000,4317.986818131208
1638657600000,5042.181348532073
1638657900000,2614.0764332981944
1638658200000,1395.4573544169155
1638658500000,4173.518357820285
1638658800000,4985.966459581028
1638659100000,2127.6461303487304
1638659400000,3142.3926419606387
1638659700000,2253.5613159405466
1638660000000,3790.7935003283155
1638660300000,3249.448541273523
1638660600000,1212.3276670975395
1638660900000,4310.8733113510725
1638661200000,2875.486659133943
1638661500000,2814.7194600011667
1638661800000,1924.7906416313103
1638662100000,3516.951535192909
1638662400000,2894.5809711320585
1638662700000,3485.966848685024
1638663000000,2836.115507932062
1638663300000,3384.6561754357285
1638663600000,2576.1945516880673
1638663900000,5744.543096741836
1638664200000,3516.2374687782476
1638664500000,2698.1462798204225
1638664800000,3476.2013819176354
1638665100000,3320.1511791137614
1638665400000,2142.4251092015766
1638665700000,5023.289245158334
1638666000000,2127.743695110136
1638666300000,1598.7593583077044
1638666600000,2839.1488767937212
1638666900000,4210.101007411949
1638667200000,3909.441832039738
1638667500000,3496.874750637314
1638667800000,438.4246885537222
1638668100000,1470.839634437531
1638668400000,1258.7325598113239
1638668700000,8686.419444302737
1638669000000,2645.200149605322
1638669300000,1921.57991318729
1638669600000,2394.269074879655
1638669900000,2662.0293447316117
1638670200000,1634.7940058207314
1638670500000,2260.31803738567
1638670800000,3599.8025174672875
1638671100000,3080.5717325097576
1638671400000,1745.688821196728
1638671700000,3726.276187537951
1638672000000,2572.0595158813344
1638672300000,762.1538246021373
1638672600000,3640.0924218646696
1638672900000,3682.7753393913254
1638673200000,1185.6758358517254
1638673500000,3501.729915897562
1638673800000,2349.4146750417713
1638674100000,3293.260921399148
1638674400000,395.3388119932372
1638674700000,2805.41088706741
1638675000000,2075.805712149789
1638675300000,1023.608373351696
1638675600000,5795.869795484759
